"","observer","detected","object","distance"
"1",1,1,1,7.8595
"2",1,1,2,10.2435
"3",1,1,3,12.4435
"4",1,1,4,3.76
"5",1,1,5,4.7777
"6",1,1,6,8.4531
"7",1,1,7,13.4136
"8",1,1,8,5.8039
"9",1,1,9,7.4507
"10",1,1,10,11.4513
"11",1,1,11,0.8634
"12",1,1,12,9.2329
"13",1,1,13,12.5082
"14",1,1,14,6.0755
"15",1,1,15,9.1468
"16",1,1,16,6.3828
"17",1,1,17,21.2129
"18",1,1,18,3.8497
"19",1,1,19,12.5534
"20",1,1,20,4.698
"21",1,1,21,17.8613
"22",1,1,22,14.549
"23",1,1,23,5.1069
"24",1,1,24,4.21
"25",1,1,25,3.5765
"26",1,1,26,11.1619
"27",1,1,27,12.2259
"28",1,1,28,1.8459
"29",1,1,29,35.8197
"30",1,1,30,2.6118
"31",1,1,31,6.153
"32",1,1,32,9.7359
"33",1,1,33,4.0128
"34",1,1,34,9.7292
"35",1,1,35,6.8997
"36",1,1,36,5.0962
"37",1,1,37,3.3143
"38",1,1,38,5.9724
"39",1,1,39,18.3741
"40",1,1,40,3.7718
"41",1,1,41,2.9107
"42",1,1,42,3.2504
"43",1,1,43,2.9239
"44",1,1,44,3.6915
"45",1,1,45,13.2132
"46",1,1,46,0.9887
"47",1,1,47,2.282
"48",1,1,48,13.3751
"49",1,1,49,16.231
"50",1,1,50,3.8242
"51",1,1,51,19.2765
"52",1,1,52,11.0833
"53",1,1,53,0.812
"54",1,1,54,1.488
"55",1,1,55,0.7481
"56",1,1,56,10.2063
"57",1,1,57,10.0329
"58",1,1,58,0.6194
"59",1,1,59,7.6119
"60",1,1,60,4.3652
"61",1,1,61,0.9875
"62",1,1,62,1.0004
"63",1,1,63,1.2247
"64",1,1,64,4.614
"65",1,1,65,9.2462
"66",1,1,66,15.8066
"67",1,1,67,1.9086
"68",1,1,68,3.2599
"69",1,1,69,3.7263
"70",1,1,70,5.8309
"71",1,1,71,5.8967
"72",1,1,72,4.7541
"73",1,1,73,12.3661
"74",1,1,74,7.638
"75",1,1,75,10.5899
"76",1,1,76,17.8306
"77",1,1,77,5.791
"78",1,1,78,0.0151
"79",1,1,79,0.5981
"80",1,1,80,2.001
"81",1,1,81,6.9416
"82",1,1,82,7.2147
"83",1,1,83,7.6602
"84",1,1,84,10.1934
"85",1,1,85,1.2576
"86",1,1,86,1.7204
"87",1,1,87,8.3923
"88",1,1,88,13.3535
"89",1,1,89,19.4449
"90",1,1,90,12.7825
"91",1,1,91,13.2445
"92",1,1,92,6.2648
"93",1,1,93,10.0185
"94",1,1,94,12.3857
"95",1,1,95,19.4607
"96",1,1,96,1.706
"97",1,1,97,3.0799
"98",1,1,98,3.3085
"99",1,1,99,19.4181
"100",1,1,100,16.6435
"101",1,1,101,0.9703
"102",1,1,102,6.6183
"103",1,1,103,12.4475
"104",1,1,104,4.8554
"105",1,1,105,15.414
